,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
2002-04-01,62.05322886074518,62.691387569464446,41.59653140739855,41.85737057176619,11.012954256571012,11.71548540247153,112.07747548533153,113.98712992400714,67.81025322975837,67.44989804359382,23.430867079698366,23.456997478805253,3.1382436290411925e-05,3.1048533648421823e-05,0.01713333333333333,0.028665299224234133,0.037771783813083326,0.055899422250619946,0.05833333333333333,0.04996419214371872
2002-07-01,62.138678828798675,62.909350062993944,41.78141397988035,42.05331615944249,10.928470719049349,11.73912292215983,111.3639982882678,113.51466274248901,68.03770587864733,67.84317927328684,23.53313461566297,23.554209329202365,3.173248715448917e-05,3.128194265177898e-05,0.016433333333333335,0.02742631085828732,0.04618597794230572,0.05570026275641902,0.05733333333333333,0.05046391428517933
2002-10-01,62.04269410329284,63.13110319354166,41.84806171028806,42.246833219225664,10.885630618027946,11.768709795768856,111.131977588514,113.06664757971134,68.23275321997315,68.22977596861952,23.505096149010644,23.65099072208583,3.210327180598842e-05,3.1504343523362603e-05,0.013333333333333332,0.026389580791416966,0.04085115718440013,0.055608861795541135,0.05866666666666667,0.05089983098473397
2003-01-01,61.94315423032438,63.357474771620076,41.84990647245913,42.43830855126631,10.857262549978348,11.804307612499434,109.74269237837132,112.64718919336886,68.13360292358144,68.61164915880798,23.672110002299394,23.746775713509074,3.225443499727441e-05,3.1714944795331104e-05,0.011566666666666664,0.0255743890791408,0.04796683467546203,0.05560626029424659,0.05866666666666667,0.05126511524396958
2003-04-01,62.28804225003944,63.588613667098095,42.079718170681765,42.62788432170526,10.859844425169223,11.845409875817312,109.13979544519954,112.25913570044982,68.3127893595648,68.99080972320534,23.86735052837234,23.840897246054794,3.2698692888813346e-05,3.191332922304876e-05,0.0104,0.02499185562231524,0.046628701394884065,0.05566427561341372,0.06133333333333333,0.051557794336774314
2003-07-01,63.13437532222803,63.823770761894316,42.58638273539474,42.81533248277998,11.157795328733023,11.890889010019752,108.9390285215227,111.90348915823398,68.46371526852892,69.36901231182621,24.20191476473095,23.93263113023959,3.3072339995145466e-05,3.209942786450473e-05,0.009300000000000001,0.024644345495288912,0.055693840420633745,0.05574995047290913,0.06133333333333333,0.05178052150667552
2003-10-01,63.63986402172431,64.06135866846475,42.67153519052592,43.00007400362838,11.524613217722015,11.938956933643748,109.07038547906016,111.57929694719317,68.67648036756768,69.7476208124728,24.350128452142698,24.02125966114928,3.273428194660361e-05,3.227368050878088e-05,0.009166666666666667,0.0245251038626465,0.056742132066838424,0.055824680358712846,0.05833333333333333,0.051942059709073396
2004-01-01,63.95667882380047,64.29932985410684,43.07220045658498,43.18137622977829,11.557387477792057,11.987321971657536,109.49683137003956,111.28377352805362,69.18522908187009,70.12745369719592,24.346385019658392,24.106224609328574,3.2732084833963596e-05,3.243716026590886e-05,0.009166666666666667,0.02461778567303813,0.06246438156335454,0.055849825688022214,0.057,0.052057142406759786
2004-04-01,64.26545989692582,64.53533998222741,43.16391673960814,43.3582877658152,12.008228220990217,12.033389909561452,109.29267872033215,111.01260564029936,69.51678505304018,70.50866541772123,24.452671382713817,24.187167478187014,3.306542573972735e-05,3.259126627306199e-05,0.010766666666666667,0.024896446851866445,0.06416729908669816,0.055787320285352174,0.05599999999999999,0.052144497608541715
2004-07-01,64.66822144474908,64.7667942658545,43.43863524466857,43.529774787125994,12.18518931161468,12.074252039650395,109.60244827828424,110.76041731584688,69.92111973301738,70.89081443499003,24.51089078303715,24.26387776294942,3.311340529377846e-05,3.273762165055692e-05,0.014866666666666665,0.025325486375155117,0.05918163149514921,0.05560323207263976,0.05433333333333334,0.052225942609221976
